Type	Label
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_53
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_54
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_55
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_56
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_57
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_58
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_59
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_60
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_61
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_62
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_63
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_64
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_65
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_66
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_67
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_68
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_69
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_70
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_71
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_72
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_73
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_74
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_75
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_76
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_77
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_78
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_79
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_80
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_81
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_82
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_83
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_84
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_85
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_86
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_87
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_88
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_89
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_90
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_91
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_92
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_93
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_94
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_95
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_96
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_97
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_98
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_99
PATH	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D_step_100
